y,x.1,x.2,x.3,x.4,x.5,x.6,x.7,x.8,x.9,x.10,x.11,x.12,x.13,x.14,x.15,x.16,x.17,x.18,x.19,x.20,x.21,x.22,x.23,x.24,x.25,x.26,x.27,x.28,x.29,x.30,x.31,x.32,x.33,x.34,x.35,x.36,x.37,x.38,x.39,x.40,x.41,x.42,x.43,x.44,x.45,x.46,x.47,x.48,x.49,x.50,x.51,z.1,z.2,z.3,z.4,z.5,z.6,z.7,z.8,z.9,z.10,grp,time
5.711675016,1,2.245708899,0.964102799,1.04006998,-0.007440141,1.12835128,0.227205171,1.195514324,-0.237446471,1.085196965,1.8565012,0.509734319,1.880244944,0.6902467,1.609371443,1.272848635,1.648243161,2.064166953,0.819750811,0.158875576,1.022644489,1.292603303,1.693601002,2.009449609,1.647737759,1.174357952,1.601288475,0.954024439,1.142059124,-0.247308374,2.395054418,3.282764231,-1.130988063,-0.175384354,0.277394916,1.398862085,0.903850592,2.562175299,0.2152253,1.098777773,1.307172815,3.653160477,2.160200967,0.864145236,1.594187496,1.904282688,-1.064338204,0.933838748,1.907754102,0.989068849,1.44922596,1,2.245708899,0.964102799,1.04006998,-0.007440141,1.12835128,0.227205171,1.195514324,-0.237446471,1.085196965,1,1
3.91017753,1,1.319625371,-0.1209106,0.942456618,-0.114370172,0.194785266,0.849766972,0.579493299,0.227409953,0.48289255,-0.206899878,-0.783822093,-0.519847942,3.320362929,1.134485371,1.751660416,1.47663294,2.154433504,-0.481106431,1.736056451,2.211769147,1.847767437,0.27228842,1.1934305,2.761685848,-0.146745248,2.766982214,0.49613679,0.834737075,1.142743648,3.421727769,0.869636497,2.343289145,0.130470594,1.840318301,-0.002540715,2.530593362,2.086429146,1.360118425,0.964600776,-1.192586518,0.869225036,-0.911379047,1.666628425,0.372048908,1.012960449,2.540583496,0.650247893,2.389136369,2.345050343,0.857536465,1,1.319625371,-0.1209106,0.942456618,-0.114370172,0.194785266,0.849766972,0.579493299,0.227409953,0.48289255,1,2
8.55302981,1,0.88503755,2.125156364,1.389129915,1.804120113,3.561821777,-0.204854251,0.769980706,0.140011673,0.263350992,1.977615365,0.475192185,-0.313263283,0.467152219,0.997015031,0.558078628,2.329148685,1.607259346,-0.48165826,0.456479483,0.913824982,0.204572169,2.167660533,1.145003696,0.179471164,1.259272355,2.209946289,0.037377217,1.82797547,0.003636596,1.331110506,-0.100986322,0.718840834,2.008903985,-0.128879739,0.778407286,1.613325924,0.22442436,-0.503976551,1.6900226,1.874040671,0.892170122,2.207497808,2.608724122,0.331170804,1.398626666,-0.70638106,0.433946571,-0.177738489,-0.461695234,0.07279769,1,0.88503755,2.125156364,1.389129915,1.804120113,3.561821777,-0.204854251,0.769980706,0.140011673,0.263350992,1,3
7.002158998,1,1.790732581,1.818865272,1.291508008,0.784561343,0.008980719,1.226895217,1.153714129,0.229279206,2.233537195,0.799791027,-0.815524299,-0.067737785,0.078065867,2.298596353,1.809537784,0.128067397,-0.317726893,1.291794191,1.231515684,0.386603287,2.748381026,0.464169149,0.900999025,3.082051713,2.344227947,0.136349823,1.928330858,1.933689723,0.759152848,0.449588646,1.604633238,0.938581256,0.269435786,-0.33290931,1.138208393,1.143968915,1.125348524,-0.221954626,2.787786319,1.922776873,-0.207669326,-0.830065319,1.456987651,1.921062761,3.392004094,1.732314033,0.697657273,1.756947532,1.384204325,-1.425525834,1,1.790732581,1.818865272,1.291508008,0.784561343,0.008980719,1.226895217,1.153714129,0.229279206,2.233537195,2,1
3.05300042,1,-0.866415181,1.108015936,0.03365931,1.847527154,3.257521409,0.242404671,2.20570896,-0.6886418,1.136908012,1.200547867,2.49122034,0.997025325,-0.922363861,1.170291674,-0.059853287,0.048868345,1.090575488,0.492013677,1.572711434,0.80939809,0.893969646,2.081085072,0.266456882,0.994313717,0.000567684,1.002767781,0.519258806,1.326624237,0.380295748,2.481440131,-0.253400062,2.272595913,0.085193041,0.763207879,0.93646007,1.464841831,0.980478787,0.664271331,1.069361957,-0.96158594,1.509099946,2.145293164,1.455889205,0.183866636,1.064123702,0.899330559,-0.418222096,1.814893712,1.286213303,0.783118091,1,-0.866415181,1.108015936,0.03365931,1.847527154,3.257521409,0.242404671,2.20570896,-0.6886418,1.136908012,2,2
5.326593109,1,1.48448763,2.272544122,2.516964161,0.153894517,2.338785467,0.331551722,0.794958215,2.760743989,2.876670509,1.284748329,1.241322728,-0.114876552,1.819855765,1.001425675,0.077828269,2.670477797,-0.545331317,0.754308959,1.709796544,-0.131788328,0.68479861,2.90652441,2.283207819,1.917913278,1.746166117,2.163513272,1.180760352,0.78984753,0.089588307,0.951374058,0.696813315,1.109223784,0.154249225,1.503654068,0.585596802,0.265283075,0.350580354,1.987872891,1.647544891,-0.231647918,1.209631791,1.355841177,0.003359118,-0.189026569,0.786594163,1.900936834,0.322344676,0.851986497,2.094780576,0.698485324,1,1.48448763,2.272544122,2.516964161,0.153894517,2.338785467,0.331551722,0.794958215,2.760743989,2.876670509,2,3
7.061947927,1,0.222608423,1.10439778,1.383276534,1.928296179,0.536503729,1.925635499,-1.065700551,1.400879669,1.534184349,2.22563831,-0.607551042,-0.258252457,1.069969235,-0.26226934,2.847186556,2.336329582,0.346643403,1.284905643,0.363305817,0.619117743,2.562015277,0.421366114,2.125346776,0.775324051,1.927388842,2.965647097,0.79586093,0.504699458,1.383936559,0.176859421,-1.270570677,0.456764708,1.933161024,2.472440903,0.898546698,0.793984044,1.405508774,0.807654126,0.010760134,-0.02254225,0.85107845,0.420914711,1.617601114,0.035987923,2.390787371,1.772142994,1.284057003,1.635915481,0.772627395,2.528099719,1,0.222608423,1.10439778,1.383276534,1.928296179,0.536503729,1.925635499,-1.065700551,1.400879669,1.534184349,3,1
0.669244745,1,1.06735387,-0.210219199,1.471492503,-1.250402172,1.831746084,-0.292965402,-0.292710876,1.373856143,1.905599705,0.100444352,1.037390268,0.818302016,1.207854374,0.280351315,0.195020772,2.199825887,1.239588411,2.533550231,0.18574798,2.436638485,0.093907284,1.960068041,2.068028394,2.053649962,1.547368507,2.387320253,0.96040155,0.407442893,3.018510862,2.439152928,1.358191322,2.688416665,0.845725315,0.859278366,1.128588594,-0.976568361,-0.498521137,-0.276405233,0.322706194,1.908047692,3.292018357,0.199715144,0.304239145,0.703892656,2.455122306,1.529809034,2.251844671,1.522680989,0.633925027,1.207523033,1,1.06735387,-0.210219199,1.471492503,-1.250402172,1.831746084,-0.292965402,-0.292710876,1.373856143,1.905599705,3,2
4.6572476,1,0.743949521,2.318265272,1.250037687,0.98569522,1.069674086,1.291624203,0.843624465,1.757742003,2.109862996,-0.836585685,-0.279575112,1.203027768,1.229666281,1.524642008,0.966975659,1.109134036,0.133813045,0.732344325,0.7826415,0.403688004,0.278494757,2.253490139,1.644154032,0.100296903,0.942046813,1.962943602,0.843893682,0.263702776,2.146231971,2.386991453,-0.252887645,1.672665484,1.375300866,0.600237585,1.330296521,1.505309808,-0.204236322,1.036730601,1.033776669,1.229723949,-0.344399974,2.690631617,-1.198861741,1.228317962,2.392793272,1.750071138,0.766406871,0.623211989,0.037090907,1.00914913,1,0.743949521,2.318265272,1.250037687,0.98569522,1.069674086,1.291624203,0.843624465,1.757742003,2.109862996,3,3
9.480318393,1,1.881957131,0.147778226,0.754314122,1.556413153,3.574977933,2.815996518,1.831519498,2.828618057,0.698358022,0.683929754,-0.295738938,1.03913913,0.175529664,2.592485558,2.609928753,-0.09968952,2.463526591,2.321163093,0.032365236,-0.756829172,1.203103439,0.345053847,1.334198133,0.203712616,1.547059324,-0.040965132,0.631031175,1.02957117,0.645823115,2.735516394,-1.049151584,0.461547249,1.02508711,-0.474943172,1.449592299,1.219869808,1.421004156,2.015378623,0.591086044,1.456799919,-0.517666221,1.714521869,-0.110699968,1.292441393,-1.081284524,0.170886453,2.828824202,0.840217484,0.346291613,0.021525792,1,1.881957131,0.147778226,0.754314122,1.556413153,3.574977933,2.815996518,1.831519498,2.828618057,0.698358022,4,1
